index,marca,nombre,pegatina,anyo,km,combustible,cv,transmision,unico_dueno,ubicacion,longitud,anchura,altura,peso,maletero,deposito,velocidad_maxima,0a100,consumo,emisiones,numero_llaves,numero_extras,precio
3634,Seat,Seat Arona,C,2021,79334,Gasolina,110,MANUAL,True,,4.14,1.78,1.55,1193,,-,190,10.3,4.8,121,2,5,13842
3635,Renault,Renault Mégane,C,2019,31502,Gasolina,140,AUTO,False,Granada,4.36,1.81,1.45,1259,1247,-,205,9.2,5.5,125,2,5,20290
3636,Toyota,Toyota Yaris,ECO,2020,78683,Híbrido,100,AUTO,True,Málaga,3.95,1.7,1.51,1165,768,-,165,11.8,4.0,87,2,5,15200
3637,Volkswagen,Volkswagen Polo,C,2018,103452,Gasolina,95,MANUAL,False,Barcelona,4.05,1.75,1.46,1145,1125,-,187,10.8,4.5,103,2,5,14990
3638,Peugeot,Peugeot 308,C,2019,134415,Diésel,130,AUTO,False,Córdoba,4.25,1.8,1.46,1204,1309,-,206,9.4,3.6,100,2,5,12990
3639,Seat,Seat Ibiza,C,2021,59026,Gasolina,110,AUTO,True,,4.06,1.78,1.44,1163,1165,-,195,10.0,5.5,126,2,5,13099
3640,BMW,BMW X2,C,2018,150000,Diésel,150,MANUAL,False,Córdoba,4.36,1.82,1.53,1575,1355,-,207,9.3,4.5,119,2,5,18800
3641,Dacia,Dacia Lodgy,C,2017,127663,Diésel,107,MANUAL,False,Madrid,4.52,1.77,1.68,1263,1861,-,177,11.2,4.0,105,2,5,13990
3642,Opel,Opel Corsa,C,2018,101669,Gasolina,90,MANUAL,False,,4.02,1.75,1.48,1163,1120,-,175,13.2,5.2,120,2,5,8790
3643,Renault,Renault Mégane,C,2020,56692,Gasolina,140,MANUAL,True,Madrid,4.36,1.81,1.45,1231,1247,-,205,9.5,6.0,136,2,5,17990
3644,Ford,Ford Focus,,2004,148327,Diésel,100,MANUAL,False,Cáceres,4.17,1.7,1.44,1277,1205,-,186,11.6,138.0,,2,3,2490
3645,Seat,Seat Ibiza,C,2016,67688,Diésel,105,MANUAL,False,Málaga,4.06,1.69,1.45,1161,847,-,192,9.9,3.9,100,2,5,11790
3646,Toyota,Toyota Yaris,C,2006,130559,Gasolina,87,MANUAL,False,Alicante,3.75,1.7,1.53,1010,,-,170,11.5,6.0,141,2,3,5500
3647,SsangYong,SsangYong Tivoli,C,2019,71573,Gasolina,163,MANUAL,False,Madrid,4.22,1.8,1.61,1300,1115,-,181,7.2,164.0,,2,5,16300
3648,Volkswagen,Volkswagen Golf,C,2016,72739,Gasolina,230,AUTO,True,Alicante,4.27,1.79,1.44,1402,1270,-,248,6.4,6.4,147,2,5,23990
3649,Toyota,Toyota Verso,C,2015,95171,Gasolina,147,AUTO,False,,4.46,1.79,1.63,1535,1696,-,185,11.1,6.5,159,2,5,15200
3650,Renault,Renault Arkana,ECO,2021,52291,Híbrido,140,AUTO,True,,4.57,1.82,1.58,1402,1296,-,205,9.8,6.1,135,2,5,22490
3651,Mercedes,Mercedes Clase A,C,2020,89666,Gasolina,421,AUTO,False,Madrid,4.45,1.85,1.41,1635,1195,-,270,3.9,8.6,204,2,5,54990
3652,Volvo,Volvo XC60,B,2015,140566,Diésel,136,MANUAL,False,Valencia,4.64,1.89,1.71,1816,1455,-,190,11.2,5.3,139,2,5,17500
3653,Renault,Renault Trafic,C,2017,155486,Diésel,145,MANUAL,False,,5.4,1.96,1.97,1760,,-,181,6.3,164.0,,1,5,17603
3654,Jeep,Jeep Compass,C,2019,53563,Gasolina,140,MANUAL,True,Valencia,4.39,1.82,1.64,1430,1251,-,195,9.8,6.8,155,2,5,18990
3655,Seat,Seat Arona,ECO,2021,23339,GNC,90,MANUAL,True,Madrid,4.14,1.78,1.55,1305,,-,178,13.2,5.2,102,2,5,16500
